,Feed,Category,Headline,Link,Pubdate,NewsText
0,timesofindia,latest,Pragya Thakur on 'temple run' after EC curbs on campaigning,https://timesofindia.indiatimes.com/elections/lok-sabha-elections-2019/madhya-pradesh/news/pragya-thakur-on-temple-run-after-ec-curbs-on-campaigning/articleshow/69151208.cms,"Thu, 02 May 2019 22:38:21 IST","This story is from May 2, 2019Pragya Thakur on 'temple run' after EC curbs on campaigningPTI /  May 2, 2019, 22:38 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeARTICLESPragya Thakur on 'temple run' after EC curbs on campaigningBetter if Pragya's nomination had been cancelled: Digvijay SinghEncouraging & acknowledging the resilience of lakhs of small businesses, Amazon celebrates Small Business Days 2021No farmer to be jailed for loan default in Congress regime: Rahul GandhiPragya Thakur (File photo)BHOPAL: Malegaon blast accused and BJP's Lok Sabha candidate Pragya Singh Thakur went on a temple run on Thursday, a day after the Election Commission imposed a 72-hour campaigning ban on her. Thakur reached the Bhawani Mata Temple at Peer Gate in Bhopal in the morning and after performing aarti, sang bhajans (devotional songs) in the presence of the BJP leaders. She then proceeded to the Gufa Mandir at Lal Ghati and also to a nearby gaushala (cow shelter), where she offered fodder to the cows and calves. Thakur appeared to be following in the steps of Uttar Pradesh Chief Minister Yogi Adityanath, who too spent time temple hopping following a 72-hour ban for his ""Ali-versus-Bajrang Bali"" remark last month. The EC ban followed complaints against Thakur for her offensive remark against 26/11 Mumbai terror attacks martyr Hemant Karkare and her boast that she had participated in the demolition of the Babri Masjid on December 6, 1992. While imposing the ban on her, the Commission had strongly condemned her remarks and warned her not to repeat the ""misconduct"". The EC had said though Thakur had apologised for her statement against the IPS officer, it found the statement to be unwarranted. Pragya Thakur, an accused in the Malegaon blast case of September 2008, got herself embroiled in a series of controversies after being declared BJP's candidate from Bhopal Lok Sabha constituency. Her comment that former Maharashtra ATS chief Hemant Karkare was killed due to her curse, as he had tortured her in custody evoked sharp reactions. Thakur is pitted against Congress veteran Digvijaya Singh in Bhopal, where polling will be held on May 12. FacebookTwitterLinkedinEMailStart a Conversationend of articleCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaNarendra ModiCoronavirus India update liveMaharashtra assemblyCovid 19Top Stories Right NowindiaIAF now wants to acquire 10 counter-drone systems after Jammu attackindiaCovid live: No Rath Yatra across Odisha, only at Puri, SC sayssportsConfusion over replacements, BCCI’s apathy leaves Team India fretting in EnglandMore Latest News. . . "
1,timesofindia,latest,"472 Maoist surrendered this year, highest in 3 years: Govt",https://timesofindia.indiatimes.com/india/472-maoist-surrendered-this-year-highest-in-3-years-govt/articleshow/45276053.cms,"Tue, 25 Nov 2014 22:48:03 IST","This story is from November 25, 2014472 Maoist surrendered this year, highest in 3 years: GovtBharti Jain / TNN /  Nov 25, 2014, 22:48 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeYOU'RE READING472 Maoist surrendered this year, highest in 3 years: GovtModi govt being run by big industrialists: Rahul in J&KCongress jibe at Modi: Your wife Jashodaben used same RTI brought by UPANobody knows how much black money is stashed abroad: Raghuram Rajan NEW DELHI: Maoist surrenders have seen a quantum jump this year, with 472 surrenders being reported until October 31 against 283 for the whole of 2013. Of course, Chhattisgarh has single-handedly contributed to this rise, having clocked 247 surrenders by October-end, up from just 28 in 2013.  Incidentally, Chhattisgarh has also reported a major increase in the number of Maoists arrested this year. According to data shared by the Union home ministry in reply to a question in the Lok Sabha on Tuesday, arrests in the state grew from 387 in 2013 to 517 until October 15 this year.  However, the nearly nine-fold rise in surrenders as well as notable rise in arrests is essentially limited to Chhattisgarh. Surrenders in Andhra Pradesh were 76 until October 31 against 82 for whole of last year. Bihar reported 150 Left wing extremism-related incidents and arrested 329 Maoists (until November 15) but managed just 4 surrenders until October 31.  Jharkhand recorded the highest number of incidents at 318, highest number of civilian killings at 77, while Maoists killed were 8 and arrested, 364. The surrenders were a measly 17, almost at the same level of 15 recorded last year.  Odisha has shown incidents at around the same level (97 until November 15 against 101 last year), but surrenders are down at 80 as on October 31 (from 101 in 2013) and Maoists arrests at just half (67) of the 2013 levels (129).  A special session on police response in rural areas of Left-wing extremism-hit states will be conducted during the DGP/IGP meet slated to be held on November 29 and 30 in Guwahati. FacebookTwitterLinkedinEMailStart a Conversationend of articleSpotlightHow Amazon India get is supporting small businessesManav Rachna hosts live session with the PMWhat makes IIHM the 1st choice for aspiring studentsCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaPM ModiYogini Ekadashi 2021Coronavirus India update livePhilippines plane crashTop Stories Right NowcityBJP pacifies ‘upset’ senior leaders, Dhami takes oath as 11th Uttarakhand CMindiaCovid live: Moderna’s vaccine likely to reach India this weekcityIn fresh lows, Bengaluru reports 352 new Covid-19 cases, 3 deaths in 24 hoursMore Latest News. . . "
2,timesofindia,latest,Sensex surges over 200 points on global cues,https://timesofindia.indiatimes.com/business/india-business/sensex-surges-over-200-points-on-global-cues/articleshow/47715811.cms,"Thu, 18 Jun 2015 10:21:25 IST","This story is from June 18, 2015Sensex surges over 200 points on global cuesPTI / Updated: Jun 18, 2015, 11:18 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeARTICLESSensex surges over 200 points on global cuesRupee rallies 25 paise against dollarGet the right accessories for yourself during the 14th edition of Myntra’s EORSGovt’s biz push: Trade licence in a day MUMBAI: The benchmark BSE Sensex regained the 27,000 mark by climbing over 200 points in early trade on Thursday, extending its winning streak to the fifth straight day.  This came on the back of continued buying by participants amid a mixed trend in global markets after the US Fed kept its near-zero benchmark interest rate unchanged.  Besides, strengthening of the rupee by 25 paise at 63.87 against the dollar in early trade supported the rally.  The 30-share index surged 200.65 points, or 0.75 per cent, to trade above the 27,000 level at 27,033.31, with all sectoral indices led by healthcare, oil & gas, capital goods and consumer durables trading in the positive zone with gains of up to 1.04 per cent.  The gauge had gained 461.68 points in the past four straight sessions.  Also, the NSE index Nifty gained back the 8,100 mark by surging 45.75 points, or 0.57 per cent, at 8,137.30.  Brokers said a mixed trend in Asian markets, tracking overnight gains in US bourses after the US Fed kept its near-zero benchmark interest rate unchanged and Chairman Janet Yellen pledged a methodical approach to rate increase, influenced sentiment here.  Furthermore, above-normal monsoon so far and narrowing of the country's trade deficit perked up mood, they said.  Prominent gainers that supported the key indices were Cipla, RIL, ICICI Bank, Wipro and Axis Bank.  Among other Asian markets, Hong Kong's Hang Seng was up 0.12 per cent while Japan's Nikkei shed 0.60 per cent in early trade on Thursday.  The US Dow Jones Industrial Average ended 0.17 per cent higher in Wednesday's trade. FacebookTwitterLinkedinEMailStart a Conversationend of articleCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineBusiness NewsStock Market HolidaysRent Agreement FormatGratuity Balance CheckNPS Tax BenefitSavings Growth CalculatorTop Stories Right NowindiaStan Swamy, accused in Elgar Parishad case, passes away at 84indiaCoWin to be made open source, says PM; asks world to work together for humanityindia12 BJP MLAs suspended from Maharashtra assembly for one yearMore Latest News. . . "
3,timesofindia,latest,Suggestions invited for amendment to PDPP Act,https://timesofindia.indiatimes.com/india/centre-invites-suggestions-for-proposed-amendment-to-pdpp-act/articleshow/47361664.cms,"Wed, 20 May 2015 21:35:06 IST","This story is from May 20, 2015Centre invites suggestions for proposed amendment to PDPP ActRadheshyam Jadhav / TNN / Updated: May 20, 2015, 21:43 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeYOU'RE READINGCentre invites suggestions for proposed amendment to PDPP ActNavy gets its own dredger, will help in increasing draft of navigation channelsEncouraging & acknowledging the resilience of lakhs of small businesses, Amazon celebrates Small Business Days 2021Traders seek US intervention to resolve their issuesPUNE: The ministry of Home Affairs has invited suggestions for proposed amendments in the Prevention of Damage to Public Property (PDPP) Act, 1984. The proposed amendments seek to deter the prospective violators from vandalizing and destroying public/private property during agitations and other forms of protests. The proposed amendments will also deter the office-bearers of these organizations.  The Supreme Court had set up a committee under the chairmanship of Justice KT Thomas, former Judge of the Supreme Court, to examine modalities to be adopted to make the Prevention of Damage to Public Property Act, 1984 (PDPP Act, 1984) more effective and also suggest suitable changes, which could make the Statute more meaningful.  The committee concluded that the present law was inadequate and ineffective to deal with the increasing number of instances of public property damage and made some recommendations for amendment in the Prevention of Damage to Public Properties Act, 1984. MHA had decided to accept the recommendations of the Justice KT Thomas Committee.  The present provision of the Prevention of Damage to Public Property Act, 1984 and the proposed draft Prevention of Damage to Public Property Act are also available on the ministry of Home Affairs website www.mha.nic.in.  The suggestions/comments on the proposed draft PDPP Act (Amendment) Bill, 2015 from the Public and other stakeholders are solicited on or before 20th July 2015 and the same may be sent to the ministry of Home Affairs, CS Division, 5th Floor, NDCC Building, Jai Singh Road, New Delhi-110001. The suggestion could also be sent on e-mail: dircs1-mha@mha.gov.in. FacebookTwitterLinkedinEMailStart a Conversationend of articleSpotlightHow Amazon India get is supporting small businessesManav Rachna hosts live session with the PMWhat makes IIHM the 1st choice for aspiring studentsCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaNarendra ModiCoronavirus India update liveMaharashtra assemblyCovid 19Top Stories Right NowindiaIAF now wants to acquire 10 counter-drone systems after Jammu attackindiaCovid live: No Rath Yatra across Odisha, only at Puri, SC sayssportsConfusion over replacements, BCCI’s apathy leaves Team India fretting in EnglandMore Latest News. . . "
4,timesofindia,latest,TOI poll: How masked is your city?,https://docs.google.com/forms/d/e/1FAIpQLScbhJlX7uABYyqPNZqHi6EtakzpsCU7QtTDAAbYkIUU64svIw/viewform,"Thu, 08 Apr 2021 11:56:03 IST",
5,timesofindia,latest,Taxiway take off: Licences of 2 Jet pilots suspended,https://timesofindia.indiatimes.com/business/india-business/jet-plane-tried-to-take-off-from-taxiway-and-not-runway-saudi-probe/articleshow/65287537.cms,"Mon, 06 Aug 2018 11:43:40 IST","This story is from August 6, 2018Riyadh taxiway take off: DGCA suspends licence of two Jet pilotsSaurabh Sinha / TNN / Updated: Aug 6, 2018, 16:15 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeARTICLESRiyadh taxiway take off: DGCA suspends licence of two Jet pilotsJet Airways pilots mistook taxiway for runway at Riyadh airportGet the right accessories for yourself during the 14th edition of Myntra’s EORSJet Airways shelves pay cut proposal of up to 25% for staffImage of the plane after last Friday incident when it was stuck at Riyadh AirportKey HighlightsJet Airways Boeing 737 which went off paved area of Riyadh Airport last Friday had attempted to take off using full power from a taxiway parallel to the runwayJet had last Friday said that the incident happened when their plane was trying to take off from the runwayNEW DELHI: DGCA has suspended the licences of the two pilots of the Jet Airways plane that attempted a take-off from a taxiway at Riyadh airport. The action comes after Saudi aviation authorities made this damning finding public following a probe into the incident which had happened at 00:03 hours local time Riyadh. The Jet Airways Boeing 737 went off the paved area of Riyadh airport last Friday (August 3) when it   attempted to take off using full power from a taxiway   parallel to the runway from where it was supposed to get air borne for Mumbai. “Jet Airways B-737 (VT-JFS) flight (9W) 523 headed to Mumbai with 141 passengers and seven crew members overshot taxiway at KKIA (King Khalid International Airport at Riyadh). Initial factual information confirms that the aircraft attempted take off from taxiway parallel to take off-designated runway while visibility was high and no obstacles or FOD (foreign object debris) on the taxiway. The aircraft accelerated with full take off power and exceeded the taxiway on to unpaved area ending up close to the exit of taxiway,” Saudi Arabia’s Aviation Investigation Bureau (AIB) said in a statement. A senior official of Indian DGCA said it has suspended license of both the pilots involved in runway excursion incident at Riyadh pending investigation. “The fire and rescue teams were at the site immediately, all passengers and crew were evacuated through the aircraft emergency slides with no injuries. The AIB is conducting a safety investigation into the event with participation of the Aircraft Accident Investigation Bureau of India,” it added. Following Saudi probe report, Jet on Monday said the airline is ""in contact with the DGCA and has extended all co-operation with regard to the said incident. The airline will continue to adhere to all requirements as laid down by the regulator. The matter is currently under investigation and we cannot comment on this issue. At Jet Airways safety is of paramount importance of its crew and guests."" Jet had last Friday said that the incident happened when their plane was trying to take off from the runway. “Our flight 9W 523 with 142 guests and 7 crew members from Riyadh to Mumbai of 3rd August aborted takeoff and departed the runway at Riyadh Airport. All our guests and crew have been evacuated safely with no reported injuries,” the airline had said. But the preliminary probe by Saudi authorities has found that the lane was trying to take off from a taxiway parallel to the take off-designated runway at full power. FacebookTwitterLinkedinEMailStart a Conversationend of articleCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineBusiness NewsStock Market HolidaysRent Agreement FormatGratuity Balance CheckNPS Tax BenefitSavings Growth CalculatorTop Stories Right NowindiaStan Swamy, accused in Elgar Parishad case, passes away at 84indiaLive: Over 2.01cr vaccine doses still available with states, pvt hospitals, says...indiaCoWin to be made open source, says PM; asks world to work together for humanityMore Latest News. . . "
6,timesofindia,latest,Extradition letter sets clock ticking for Mehul Choksi,https://mumbaimirror.indiatimes.com/mumbai/cover-story/extradition-letter-sets-clock-ticking-for-mehulbhai/articleshow/65275837.cms,"Sun, 05 Aug 2018 09:54:51 IST",
7,timesofindia,latest,Green court bans vehicles older than 15 years in Delhi,https://timesofindia.indiatimes.com/city/delhi/green-court-bans-vehicles-older-than-15-years-in-delhi/articleshow/45290291.cms,"Thu, 27 Nov 2014 02:27:42 IST","This story is from November 27, 2014Green court bans vehicles older than 15 years in DelhiJayashree Nandi / TNN / Updated: Nov 27, 2014, 08:46 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeARTICLESGreen court bans vehicles older than 15 years in DelhiSteps to decongest Delhi haven’t worked: Urban development ministryEncouraging & acknowledging the resilience of lakhs of small businesses, Amazon celebrates Small Business Days 2021Delhi traffic cops to help pumps enforce PUC-for-fuel ruleNEW DELHI: On the day TOI highlighted the worsening state of Delhi’s air, the National Green Tribunal cited the report and issued a slew of directions to immediately address the problem.  Among the 14 measures ordered by the green court on Wednesday was a ban on petrol and diesel vehicles older than 15 years — a move that’s likely to take an estimated 10 lakh vehicles off the road. It also barred burning of waste in the open besides placing restrictions on parking and ordering stricter vigil on overloaded trucks entering the city.  NGT, which has the powers of a civil court, sought immediate steps for building cycle tracks in the city and asked authorities to probe the possibility of installing air purifiers at marketplaces. READ ALSO: Jittery owners say they maintain vehicles well The order was issued by a bench headed by NGT chairperson Swatanter Kumar, with expert members D K Agarwal and A R Yousuf, in response to a petition filed early this year on Delhi’s air pollution by Vardhaman Kaushik.  “An article published in the Times of India today has been brought to the notice of the tribunal. It not only projects a very dismal state of affairs … with clear indication that worst is likely to follow,” the bench said.  NGT said petrol and diesel vehicles more than 15 years old shall not be permitted to on Delhi roads. These vehicles are to be seized by authorities as per the Motor Vehicle (MV) Act. READ ALSO: Auto industry pushes for scrapping old vehicles It also ordered that the RTO shall not renew or issue registration for such vehicles or provide fitness certificates. If any such old vehicle is parked in a public area, it would towed away and challaned, the tribunal said.  “It is undisputed…that the air pollution of NCT, Delhi is getting worse with each passing day,” it stated. READ ALSO: Burning of leaves — agencies pass buck Referring to air pollution peaking in the morning hours, as reported by TOI, the order said, “This article declares that it may not be safe for residents of Delhi to go out for morning walks due to heavy pollutants present in the air.”  TOI’s report on Wednesday had displayed data from the System of Air Quality Weather Forecasting and Research (SAFAR), Indian Institute of Tropical Meteorology and Delhi Pollution Control Committee, which showed PM2.5 (fine pollution particles) peaking early in the morning, creating a health risk for those who exercise outdoors. Those exposed to air in the evenings are equally at risk of developing respiratory illnesses and complications, the data suggests. READ ALSO: Traffic cops to help pumps enforce PUC-for-fuel rule Delhi’s air pollution levels are comparable with Beijing which has started implementing radical measures such as shutting industries during high pollution days, putting a cap on vehicles on the road and keeping schools closed on bad air quality days.  The NGT bench went a step ahead and ordered that any person will have the right to approach the tribunal, police or DPCC to complain about open burning of plastics, leaves and other materials which can result in air pollution. It directed DPCC and Delhi government to create a web portal where the public can upload pictures of any such violations. A “special force” constituted by the government will enforce the direction and ensure compliance. READ ALSO: Enforcement needed now for results, say activists The bench said no parking shall be allowed on tarred roads meant for regular traffic movement. “The chairperson was concerned about how Delhiites are going to cope in the high air pollution season that will last for the next six months. He was stern about immediate action on air pollution and gave the example of Lajpat Nagar, where it can take up to 40 minutes for motorists to reach the market from the main road due to congestion. He directed that parking be allowed only on one side of such roads near market areas,” said Narender Pal Singh, advocate representing Delhi government.  The bench also directed that cycle tracks be constructed in most parts of the city immediately. DPCC was asked to examine the possibility of installing air purifiers in all markets, crowded places and areas where traffic was heavy.  “We make it clear that in the event of any officer or person found violating these directions or not complying with them, we will be compelled to take coercive steps and pass such orders as may be required in accordance with law,” the order stated. FacebookTwitterLinkedinEMailStart a Conversationend of articleSpotlightHow Amazon India get is supporting small businessesManav Rachna hosts live session with the PMWhat makes IIHM the 1st choice for aspiring studentsCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaNarendra ModiCoronavirus India update liveMaharashtra assemblyCovid 19Top Stories Right NowindiaMaharashtra, Kerala slowest to come out of second wave; Sikkim sees spikehomeCBSE announces scheme for boards; to hold exams in 2 parts from current sessionindiaCovid live: Maharashtra records 51 deaths, lowest since March 15More Latest News. . . "
8,timesofindia,latest,"Chinks in security, heroin recovered from goods train form Pak",https://timesofindia.indiatimes.com/city/chandigarh/chinks-in-security-heroin-recovered-from-goods-train-form-pak/articleshow/45287308.cms,"Wed, 26 Nov 2014 20:55:00 IST","This story is from November 26, 2014Chinks in security, heroin recovered from goods train form PakYudhvir Rana / TNN /  Nov 26, 2014, 20:55 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeARTICLESChinks in security, heroin recovered from goods train form PakRoad name change demand of DSGMC stirs controversyEncouraging & acknowledging the resilience of lakhs of small businesses, Amazon celebrates Small Business Days 2021Two-day seminar on hermeneutics of Guru Nanak Bani at Guru Nanak Dev UniversityAMRITSAR :Despite claims of strict safety measures taken post November 2nd Wagah , Pakistan, suicide bomb blast, the security officials here recovered 7.480 kilogram heroin from goods train that arrived from Pakistan on Wednesday.  Sources seeking anonymity informed that the contraband was recovered on the specific intelligence input of Border Security Force. The heroin packets were concealed in the vacuum pipe of the goods train informed sources. Customer commissioner Sunil Shaney didn't' pick the phone to inform about the seizure. After Wagah bomb blast that claimed 61 lives custom officials here claimed to have made elaborate security arrangements. Earlier also there have been huge recoveries of heroin from goods train plying between India and Pakistan. FacebookTwitterLinkedinEMailStart a Conversationend of articleSpotlightHow Amazon India get is supporting small businessesManav Rachna hosts live session with the PMWhat makes IIHM the 1st choice for aspiring studentsCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaNarendra ModiCoronavirus India update liveMaharashtra assemblyCovid 19Top Stories Right NowindiaMaharashtra, Kerala slowest to come out of second wave; Sikkim sees spikehomeCBSE announces scheme for boards; to hold exams in 2 parts from current sessionindiaCovid live: Maharashtra records 51 deaths, lowest since March 15More Latest News. . . "
9,timesofindia,latest,India keeping close eye on Bangladesh polls,https://timesofindia.indiatimes.com/india/india-keeping-tab-on-jmb-leaders-contesting-bangladesh-polls/articleshow/67245796.cms,"Tue, 25 Dec 2018 21:30:25 IST","This story is from December 25, 2018India keeping tab on JMB leaders contesting Bangladesh pollsDebashish Konar / TNN / Updated: Dec 25, 2018, 22:21 ISTFacebookTwitterLinkedinEMailAA+Text SizeSmallMediumLargeYOU'RE READINGIndia keeping tab on JMB leaders contesting Bangladesh pollsNorth India reels under cold wave on Christmas; dense fog disrupts flights at Delhi airportEncouraging & acknowledging the resilience of lakhs of small businesses, Amazon celebrates Small Business Days 2021How Bogibeel bridge will help bolster India's defence on China borderPosters of the election candidates at a market in Dhaka (AFP photo)Key HighlightsAround 25 Jamaat leaders are contesting the polls on Bangladesh Nationalist Party ticket and 20 from constituencies close to the Bengal borderSome political leaders in the border areas of Bengal are helping people associated with the JMB in lieu of money, according to the reports sent by DhakaKOLKATA: India is keeping a close watch on the political developments during the Bangladesh polls as around 25 Jamaat leaders are contesting the polls on Bangladesh Nationalist Party (BNP) ticket and 20 from constituencies close to the Bengal border. Most of these constituencies are within 100km from the Bengal border, while two others are fighting from Commila, located close to Tripura border and two Jamaat-Ul Mujahideen Bangaladesh (JMB) leaders are from Shyllet, which is adjoining Assam and is now plagued with the National Register of Citizens (NRC) issue. Sources said that the maximum concentration of the Jamaat leaders are found within a range of 50-100km from the Bengal border. The son of a top JMB leader Delwar Hossain Sayeedi, who is now serving life term as a war criminal, is contesting from Pirojpur which is barely 160km from Kolkata. Thus, the reason behind fielding JMB candidates close to the Bengal border is considered significant by India. The Bangladesh government has already informed Delhi that there are support groups for JMB in Bengal and they are helping in cattle smuggling and running arms racket and involved gold smuggling. Some local political leaders in the border areas of Bengal are helping people associated with the JMB in lieu of money, according to the reports sent by Dhaka. It is already proven that JMB has bases in Bengal and adjoining states as several of its activists were arrested after the Khagragarh blast in Burdwan in October 2014. NIA in its chargesheet in the Khagragarh blast case had mentioned that JMB men carried out subversive activities in Bengal and were collecting funds and recruiting youths into the fold of JMB and were training them to wage war in a neighbouring country. Even Dhaka has sent a dossier to Delhi about JMB and how it is increasing its presence in Bengal as many of them have taken shelter in Bengal. Moreover, there are hints that the JMB might try to create violence during the polls in Bangladesh. For which security along the border is going to be tightened, so JMB leaders or their support group do not manage to sneak in after creating violence. However, officially the spokesman of the Indian foreign office Raveesh Kumar has described the election in Bangladesh to be an internal matter of Bangladesh. As an Islamic terror group, JMB has been banned from contesting the polls by the Bangladesh election commission. For which many of them are contesting as independent candidates or on BNP symbol. The JMB is now having a seat adjustment with BNP. Initially there were talks for 45 seats in favour of JMB candidates, now 25 of them are going to contest on BNP symbol, according to inputs sent to Delhi. So Indian agencies are keeping track on the constituencies from which the JMB leaders are contesting as most of them are on the border except one in Dhaka. FacebookTwitterLinkedinEMailStart a Conversationend of articleSpotlightHow Amazon India get is supporting small businessesManav Rachna hosts live session with the PMWhat makes IIHM the 1st choice for aspiring studentsCoronavirus outbreakCovaxin vaccineCowin vaccine registrationCoronavirus live newsCorona cases todayCovshield vaccineTrending TopicsCorona cases in IndiaNarendra ModiCoronavirus India update liveMaharashtra assemblyCovid 19Top Stories Right NowsportsConfusion over replacements, BCCI’s apathy leaves Team India fretting in EnglandindiaCovid live: India reports 34,703 cases in last 24 hours, lowest in 111 daysindiaMaharashtra, Kerala slowest to come out of second wave; Sikkim sees spikeMore Latest News. . . "
